energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,trans-fat_100g,cholesterol_100g,calcium_100g,iron_100g,potassium_100g,vitamin-c_100g,vitamin-a_100g,additives_n,ingredients_from_palm_oil_n,ingredients_that_may_be_from_palm_oil_n,ingredients_count,nutrition_grade_fr
720.0,3.45,2.59,29.31,20.69,0.0,3.45,0.19812,0.078,0.0,0.017,0.103,0.0,0.164,0.0,5.16e-05,2.0,0.0,0.0,16,c
849.0,9.38,5.47,28.12,25.0,0.0,3.12,0.1778,0.07,0.0,0.031,0.125,0.0,0.164,0.0019,9.36e-05,6.0,0.0,1.0,17,d
891.0,11.7,7.45,24.47,19.15,0.0,3.19,0.13462,0.053,0.0,0.048,0.106,0.0,0.138,0.0013,0.0001278,5.0,0.0,0.0,14,d
490.0,10.0,6.67,3.33,3.33,0.0,3.33,0.127,0.05,0.0,0.033,0.133,0.0,0.133,0.0,9.99e-05,0.0,0.0,0.0,2,c
1255.0,0.0,0.0,80.0,60.0,5.0,2.5,0.0,0.0,0.0,0.0,0.05,0.0018,0.75,0.003,0.0,0.0,0.0,0.0,1,c
2690.0,53.57,3.57,17.86,3.57,10.7,21.43,0.99822,0.393,0.0,0.0,0.286,0.00386,0.714,0.0,0.0,0.0,0.0,0.0,6,c
2372.0,50.0,3.33,23.33,3.33,13.3,20.0,0.0,0.0,0.0,0.0,0.267,0.0036,0.667,0.0,0.0,0.0,0.0,0.0,1,b
2648.0,50.0,3.33,20.0,3.33,10.0,23.33,0.0,0.0,0.0,0.0,0.267,0.0036,0.733,0.0,0.0,0.0,0.0,0.0,1,b
2389.0,50.0,8.93,28.57,3.57,3.6,17.86,1.08966,0.429,0.0,0.0,0.071,0.00643,0.643,0.0,0.0,0.0,0.0,0.0,6,d
2389.0,50.0,7.14,17.86,3.57,7.1,25.0,1.08966,0.429,0.0,0.0,0.071,0.00129,0.679,0.0,0.0,0.0,0.0,0.0,6,d
2987.0,75.0,12.5,14.29,3.57,7.1,7.14,0.90678,0.357,0.0,0.0,0.071,0.00257,0.357,0.0,0.0,0.0,0.0,0.0,3,d
2540.0,57.14,7.14,21.43,3.57,7.1,17.86,1.08966,0.429,0.0,0.0,0.143,0.00514,0.571,0.0,0.0,0.0,0.0,0.0,10,d
1674.0,3.33,0.0,83.33,3.33,3.3,10.0,2.71018,1.067,0.0,0.0,0.0,0.0048,0.117,0.0,0.0,3.0,0.0,0.0,13,c
1674.0,3.33,0.0,80.0,3.33,3.3,10.0,2.71018,1.067,0.0,0.0,0.0,0.0048,0.117,0.0,0.0,3.0,0.0,0.0,12,c
